coding_hours,commits_per_day,lines_of_code,bugs_fixed,sleep_hours,distractions,task_completion_rate,meetings_per_day,break_time,focus_score,productivity_level
3.14,0.21,229,0.0,6.73,5.03,0.6063,1.15,16.22,21.54,Low
3.58,1.85,112,1.52,6.95,6.67,0.3622,1.83,41.42,34.62,Low
0.06,0.71,36,0.58,5.6,9.72,0.2168,2.49,20.37,19.69,Low
3.91,0.51,76,1.06,6.74,6.46,0.2778,2.88,7.78,48.68,Low
3.08,2.01,113,0.13,7.13,6.67,0.3765,1.23,20.71,36.02,Low
6.1,6.4,296,1.28,7.7,3.91,0.7068,0.37,26.05,57.68,Medium
4.29,2.41,124,0.24,7.54,6.01,0.4904,2.57,30.06,63.33,Low
0.66,0.0,10,0.0,6.47,6.95,0.0513,1.01,17.48,7.38,Low
5.64,1.75,231,0.39,5.74,6.13,0.5934,3.19,33.41,34.15,Low
2.19,1.6,160,0.0,7.32,7.24,0.3385,1.96,27.38,40.61,Low
1.86,1.44,81,0.12,6.12,7.64,0.2835,0.66,40.21,25.37,Low
4.86,3.11,233,1.1,6.43,3.09,0.5284,1.34,37.3,45.08,Medium
4.45,2.53,246,1.39,6.63,3.2,0.6984,2.07,39.73,71.2,Medium
4.88,3.6,285,2.12,7.81,3.96,0.7806,1.19,46.31,72.73,Medium
1.75,2.2,86,0.39,6.4,4.2,0.4828,2.27,21.92,45.3,Low
4.43,1.98,166,0.52,5.5,7.86,0.3656,2.83,15.84,56.45,Low
4.98,3.46,282,1.41,7.55,4.48,0.7813,1.7,43.73,67.38,Medium
6.18,3.23,252,0.99,6.34,3.96,0.5946,0.77,36.24,43.35,Medium
4.06,2.03,114,0.7,6.87,4.85,0.5125,1.84,29.0,47.32,Low
3.46,2.0,164,0.97,7.1,3.29,0.3907,3.47,22.74,41.92,Low
2.26,0.0,47,0.0,7.16,5.75,0.1916,4.02,18.3,25.93,Low
1.48,0.52,150,0.84,7.83,7.12,0.1863,0.34,32.49,37.66,Low
5.94,2.23,222,0.94,6.31,4.79,0.6573,2.85,43.91,44.88,Medium
6.01,3.4,248,2.16,7.64,3.21,0.8292,1.84,44.62,52.83,Medium
0.93,2.08,111,1.87,6.74,5.63,0.5526,2.95,37.57,55.26,Low
5.85,3.8,274,2.54,7.85,2.99,0.6063,1.15,40.71,69.93,Medium
6.43,1.35,214,1.32,7.35,5.2,0.4734,0.12,33.12,56.79,Medium
3.82,2.09,78,0.19,6.4,8.19,0.2793,2.78,25.02,31.52,Low
5.88,3.11,202,2.05,6.83,5.52,0.5611,0.95,43.91,62.86,Medium
8.56,3.6,213,2.77,6.88,3.91,0.7866,0.15,33.95,79.87,Medium
4.03,0.41,155,0.48,7.77,5.49,0.3978,0.69,33.52,50.32,Low
7.37,4.2,293,1.62,8.15,0.4,0.8399,2.13,29.78,61.7,Medium
0.0,0.0,10,0.0,6.42,7.36,0.2023,2.93,10.31,6.45,Low
5.26,3.35,185,1.78,7.16,4.45,0.6139,2.54,31.75,70.71,Medium
4.91,1.77,106,1.0,6.52,4.85,0.4741,2.64,22.4,64.58,Low
4.85,0.0,90,1.67,5.99,6.11,0.4962,1.67,36.48,42.25,Low
4.02,1.75,104,1.36,7.33,7.38,0.4625,1.9,16.98,48.88,Low
0.0,0.0,44,0.48,5.17,9.07,0.1694,2.08,21.05,18.57,Low
3.56,2.3,194,0.27,8.37,7.22,0.3842,1.86,30.23,49.45,Low
5.44,1.84,191,2.2,6.13,4.61,0.7546,0.93,13.68,49.55,Medium
5.22,5.9,317,1.76,7.96,1.57,0.8301,1.95,32.98,43.23,Medium
0.21,0.0,114,1.21,7.99,5.69,0.3343,3.23,29.97,54.15,Low
1.72,2.1,82,0.0,7.08,5.01,0.2794,1.43,30.24,55.82,Low
1.53,1.02,97,0.79,6.89,8.09,0.3483,3.43,25.45,36.35,Low
5.22,4.23,211,0.14,6.68,4.81,0.8204,1.84,41.35,53.06,Medium
4.48,2.57,114,1.05,6.06,5.29,0.4389,2.14,30.55,53.56,Low
2.4,2.34,118,0.93,7.35,7.65,0.3273,0.46,27.49,40.18,Low
6.77,2.38,189,0.99,8.46,1.2,0.5465,0.04,35.08,67.65,Medium
4.59,1.05,188,0.24,6.7,5.74,0.5178,2.11,39.76,52.0,Low
6.3,4.87,231,2.45,6.57,1.58,0.6666,2.5,28.09,56.6,Medium
3.34,0.83,87,0.36,4.68,6.04,0.2105,1.54,21.62,26.29,Low
1.98,1.73,89,0.35,6.05,5.02,0.3945,3.77,21.67,53.74,Low
4.46,2.65,122,0.72,6.71,6.58,0.4116,2.85,24.72,50.11,Low
0.98,0.0,62,1.94,7.55,7.54,0.1445,1.53,36.94,38.65,Low
5.4,3.04,128,2.16,7.69,6.57,0.6279,1.94,37.21,44.76,Medium
3.24,1.8,174,2.14,7.37,3.71,0.6442,4.4,19.99,72.3,Medium
2.15,1.88,160,1.35,6.68,6.06,0.4932,0.76,24.02,32.64,Low
4.51,1.72,103,0.95,6.42,5.6,0.4761,2.6,32.55,53.58,Low
1.62,0.0,13,0.0,7.42,4.67,0.0008,2.1,13.86,9.67,Low
2.08,0.59,126,0.12,6.95,4.25,0.3738,2.83,20.64,35.79,Low
2.27,2.84,77,0.34,5.15,5.29,0.5319,3.37,41.74,60.47,Low
3.75,1.68,100,0.0,6.06,7.87,0.2972,1.85,19.85,46.28,Low
2.25,1.7,101,0.0,6.23,5.94,0.394,3.17,38.74,42.12,Low
6.78,2.85,225,0.0,6.77,2.64,0.8086,4.1,44.57,50.87,Medium
6.69,4.54,394,2.48,8.39,1.96,1.0,1.5,32.1,79.3,Medium
5.12,3.62,130,1.79,7.0,7.76,0.5817,2.73,21.97,57.76,Medium
4.12,2.19,192,2.09,7.07,4.78,0.6654,1.33,28.53,66.38,Medium
4.57,2.12,115,1.27,8.01,4.62,0.2625,2.04,18.74,44.32,Low
0.0,0.27,38,0.0,5.48,8.62,0.0375,2.4,21.62,5.1,Low
3.75,1.18,97,0.0,8.48,6.18,0.4477,2.8,27.81,51.17,Low
4.17,3.65,174,0.0,6.49,4.23,0.4884,3.19,33.91,46.33,Low
7.72,4.16,312,1.96,8.3,2.06,0.9437,1.15,56.29,73.94,Medium
4.5,3.34,126,0.14,6.68,4.8,0.2065,3.59,37.21,50.09,Low
3.99,2.08,133,1.11,7.25,5.63,0.5989,3.44,36.4,52.39,Low
3.66,1.71,180,0.16,7.34,5.31,0.5474,2.86,10.17,52.54,Low
0.47,0.0,23,0.34,6.76,7.48,0.4265,1.83,28.59,23.53,Low
3.21,3.26,264,1.73,6.97,2.15,0.6497,1.05,52.94,72.01,Medium
5.27,2.09,196,1.61,6.48,2.64,0.5634,0.96,3.65,48.11,Medium
8.48,2.58,209,2.55,9.4,5.23,0.3902,2.71,40.85,53.59,Medium
3.12,0.5,83,0.0,6.16,6.24,0.2888,1.06,23.86,33.93,Low
6.78,5.06,232,2.46,8.26,3.32,0.8707,2.26,28.52,88.46,Medium
0.88,0.1,46,0.0,5.01,6.64,0.1585,1.34,31.0,36.82,Low
5.2,3.19,258,1.2,7.07,5.47,0.8317,2.65,50.03,69.57,Medium
9.04,4.19,294,3.46,7.99,0.8,0.9124,1.36,48.7,97.03,Medium
0.6,0.0,118,0.91,6.88,6.28,0.3166,3.63,21.34,71.17,Low
4.2,2.95,165,0.0,4.54,7.03,0.2504,3.31,17.73,41.92,Low
5.06,1.41,125,0.93,7.18,6.61,0.5487,3.41,31.94,65.7,Low
3.85,2.9,52,0.82,5.83,4.97,0.2014,3.61,36.21,52.57,Low
1.42,0.0,38,0.0,6.48,10.27,0.2592,2.61,18.38,36.7,Low
4.16,2.11,134,1.52,6.21,5.37,0.5862,0.82,27.44,68.77,Medium
2.68,1.48,140,0.38,5.78,5.03,0.4235,1.27,52.91,29.87,Low
5.66,3.98,189,2.84,7.02,4.84,0.4927,0.0,43.15,52.12,Medium
1.74,0.51,44,0.0,5.7,5.8,0.3322,1.19,36.9,39.41,Low
6.41,3.94,228,2.14,7.39,3.33,0.8664,1.6,23.15,71.42,Medium
2.56,0.77,131,0.0,5.65,6.11,0.3876,1.68,19.01,41.44,Low
5.21,1.85,101,1.23,5.37,5.59,0.3491,1.92,29.14,60.8,Low
4.14,4.11,217,0.36,8.22,2.41,0.4235,2.25,24.06,57.42,Medium
0.0,0.16,90,0.29,5.35,8.33,0.2885,2.07,39.85,28.49,Low
4.65,2.96,149,0.68,6.97,2.92,0.5302,0.81,45.24,55.16,Medium
6.68,5.6,253,1.46,8.26,1.38,0.7048,1.55,31.2,67.32,Medium
0.99,0.0,21,0.0,5.7,7.96,0.2549,1.58,39.8,6.75,Low
4.66,2.59,192,0.78,6.43,7.13,0.5324,1.67,30.88,46.97,Low
4.25,0.87,194,2.08,7.31,4.08,0.4201,3.26,57.19,60.77,Low
7.35,0.54,204,1.61,8.29,4.88,0.4632,1.49,35.36,76.1,Medium
0.0,0.53,54,0.51,5.45,8.47,0.1397,4.14,29.58,19.9,Low
0.36,0.0,29,1.28,6.22,8.2,0.4752,3.83,37.4,18.6,Low
4.92,2.27,133,1.63,5.87,3.75,0.6767,1.26,45.39,58.13,Medium
2.62,2.69,184,0.79,6.83,2.92,0.5783,0.8,36.59,33.7,Low
4.29,2.32,246,1.57,7.15,1.31,0.5319,1.87,29.84,49.31,Medium
6.69,3.65,142,0.84,6.49,4.09,0.5446,3.05,36.87,37.84,Medium
2.67,1.07,65,0.05,6.29,7.79,0.4807,1.71,18.44,53.49,Low
4.74,1.6,134,0.0,5.99,2.97,0.4974,2.84,32.68,45.79,Low
3.07,3.43,202,1.98,7.21,5.61,0.6163,3.12,20.37,70.92,Medium
1.83,0.71,111,0.12,7.49,4.65,0.3223,1.44,8.62,50.42,Low
7.28,5.33,293,2.64,7.06,2.36,1.0,0.76,39.83,71.52,Medium
4.57,2.23,151,0.55,6.74,5.35,0.669,2.57,44.99,46.39,Low
3.16,0.0,58,0.4,6.81,5.8,0.3863,2.51,33.3,30.19,Low
5.98,3.07,140,0.92,8.3,4.27,0.5729,1.12,32.46,58.8,Medium
0.72,0.55,78,0.11,5.32,5.84,0.4109,1.94,42.6,38.84,Low
5.87,3.66,248,2.33,7.26,4.88,0.6262,1.69,28.24,54.04,Medium
6.92,3.47,193,2.56,7.81,3.62,0.7427,0.09,16.61,74.84,Medium
3.73,0.0,23,0.33,6.51,6.32,0.4994,3.01,4.08,40.34,Low
7.82,3.01,290,0.36,5.5,5.89,0.5884,1.23,23.0,61.05,Medium
3.61,3.41,159,3.72,7.61,5.37,0.6029,0.0,40.23,49.07,Medium
4.67,2.94,261,3.05,8.63,2.73,0.7082,1.73,27.76,60.48,Medium
6.28,4.6,296,3.1,8.04,2.03,0.9314,0.69,44.09,70.28,Medium
3.23,2.62,124,0.2,6.05,5.25,0.4058,3.76,45.24,46.9,Low
3.05,0.16,107,0.31,6.21,6.25,0.5579,1.64,15.23,39.55,Low
3.41,0.0,43,0.0,7.97,10.12,0.1926,1.17,30.34,39.27,Low
2.28,0.62,90,1.36,7.32,6.78,0.4827,2.75,31.31,55.43,Low
3.46,1.4,129,1.15,7.47,2.06,0.6061,1.36,21.01,47.52,Medium
4.86,1.55,124,0.65,7.46,3.67,0.7583,1.12,45.25,65.16,Medium
3.55,2.24,186,0.84,6.61,1.69,0.3965,2.43,28.51,56.45,Low
8.16,3.73,206,2.56,7.25,3.26,0.5786,0.71,30.3,60.03,Medium
2.1,2.01,145,2.29,6.94,2.0,0.6518,0.54,51.18,49.0,Medium
7.13,4.49,218,3.39,8.17,1.51,0.603,3.29,42.5,71.21,Medium
5.9,3.42,192,1.39,8.07,3.12,0.2864,2.66,37.93,48.83,Medium
9.45,5.74,403,2.97,9.25,1.5,0.9952,0.92,57.15,81.21,High
5.02,3.22,239,0.0,6.18,4.06,0.6443,1.81,26.62,44.73,Medium
1.86,0.21,69,0.55,6.75,6.74,0.4878,2.76,38.21,43.69,Low
1.64,0.0,10,0.14,7.05,6.45,0.2673,3.29,19.63,42.92,Low
6.61,2.14,267,1.5,7.74,2.18,0.5357,1.1,26.97,64.69,Medium
0.9,1.19,130,0.86,6.38,6.11,0.4864,2.43,26.16,48.2,Low
7.27,3.43,177,0.51,9.69,6.81,0.6898,1.28,27.35,68.38,Medium
3.24,5.06,205,1.82,6.21,4.9,0.6388,1.67,40.59,64.23,Medium
3.53,1.17,191,1.45,6.1,4.47,0.4676,2.18,32.31,56.78,Low
1.79,0.31,81,0.87,6.76,4.13,0.1351,2.25,20.85,28.7,Low
1.68,0.0,80,0.55,7.94,5.91,0.1053,3.19,29.17,16.31,Low
1.19,1.73,158,1.13,6.11,6.35,0.5527,2.62,25.02,39.42,Low
6.27,3.55,175,1.36,7.22,5.33,0.69,0.23,31.0,62.67,Medium
6.86,3.61,140,1.11,7.97,5.07,0.5106,0.58,31.56,50.79,Medium
0.0,0.0,89,0.08,6.36,8.07,0.3627,2.0,28.41,12.55,Low
4.57,0.0,55,1.22,6.82,5.8,0.4216,3.78,34.76,69.81,Low
3.98,2.08,175,2.11,7.65,5.18,0.5545,1.03,28.29,53.04,Medium
2.74,1.77,22,0.81,6.78,5.34,0.337,2.06,34.05,38.47,Low
4.33,0.66,143,2.78,7.9,5.03,0.4866,1.42,28.54,64.75,Medium
3.35,0.0,143,2.81,8.06,3.64,0.5217,1.43,23.74,27.42,Low
2.3,0.86,44,0.15,6.67,6.74,0.2526,2.52,9.6,27.74,Low
6.88,2.78,157,0.0,7.41,4.96,0.4316,3.29,41.62,51.5,Medium
4.89,1.75,151,2.44,7.45,6.68,0.6303,2.29,32.93,55.05,Medium
7.03,2.64,328,1.43,7.93,1.41,0.5838,0.87,37.52,64.51,Medium
4.56,2.61,309,1.2,7.57,4.14,0.7273,4.44,45.73,80.28,Medium
0.1,0.04,10,0.0,6.31,9.29,0.3619,2.49,18.34,36.07,Low
2.69,0.0,138,0.0,7.49,7.55,0.2843,1.7,11.57,45.51,Low
6.81,3.27,175,1.9,8.47,5.48,0.4859,3.26,33.27,58.2,Medium
5.45,0.0,196,0.16,6.05,5.11,0.5901,1.38,35.65,43.71,Low
4.65,1.92,189,0.55,7.27,6.17,0.5198,3.51,29.95,36.93,Low
11.7,6.65,432,4.36,8.38,0.0,1.0,0.0,64.0,92.5,High
3.64,2.6,235,1.96,7.04,2.06,0.5994,3.26,7.99,62.16,Medium
7.0,3.17,246,2.42,7.89,3.29,0.8981,1.86,46.88,67.35,Medium
6.97,4.23,207,1.13,8.01,0.33,0.8071,3.0,42.68,62.21,Medium
4.76,1.12,150,0.74,7.24,5.87,0.615,3.71,37.82,56.09,Low
2.81,1.57,89,0.34,5.31,7.3,0.5085,0.96,0.0,65.39,Low
5.84,3.7,145,1.8,6.61,3.21,0.6125,3.05,46.63,53.16,Medium
1.93,2.7,89,1.57,7.33,5.6,0.3488,0.82,15.87,47.69,Low
3.45,1.16,83,0.0,4.69,5.25,0.4165,1.02,23.74,46.47,Low
5.55,1.6,101,0.44,7.71,5.81,0.4796,1.34,25.87,42.11,Low
3.87,0.32,211,0.0,7.46,5.07,0.6597,2.48,34.48,62.99,Low
8.2,3.08,383,1.53,9.21,2.37,1.0,1.34,47.97,99.35,Medium
0.0,0.04,10,0.28,5.91,7.54,0.2187,2.39,29.59,19.6,Low
6.27,3.02,201,1.98,5.69,5.39,0.7296,1.94,41.59,68.29,Medium
0.56,0.76,96,0.07,6.54,8.09,0.2326,3.08,24.47,29.45,Low
2.28,0.0,133,1.36,7.78,4.8,0.2917,2.81,31.8,43.0,Low
7.76,4.15,224,1.49,8.28,5.37,0.8879,2.77,24.54,68.38,Medium
5.83,3.97,98,0.71,6.5,2.87,0.6933,3.8,22.81,44.08,Medium
1.12,0.8,80,1.89,6.53,6.48,0.2611,2.3,33.57,30.77,Low
0.33,1.2,126,0.23,6.22,7.52,0.3199,1.69,34.8,33.46,Low
6.57,3.03,179,2.13,6.68,2.9,0.6972,2.41,40.64,69.21,Medium
1.72,0.0,103,0.42,7.4,6.56,0.409,1.07,21.2,38.09,Low
5.38,3.68,153,0.0,6.15,5.49,0.5231,1.26,40.19,40.27,Medium
1.73,1.46,146,0.0,6.31,3.64,0.3841,2.99,18.62,43.45,Low
3.77,1.53,10,0.02,5.79,5.87,0.4003,2.07,37.52,8.23,Low
6.83,3.65,313,3.56,6.88,1.55,0.9839,0.15,38.11,77.21,Medium
6.14,1.77,239,2.14,7.43,3.22,0.6994,0.32,50.01,59.89,Medium
0.0,0.4,10,0.11,6.92,11.49,0.1299,2.66,4.66,18.26,Low
3.23,1.93,167,0.36,6.95,3.58,0.5102,3.09,48.57,72.6,Low
2.19,2.46,67,1.76,5.46,7.5,0.467,3.33,23.08,45.82,Low
6.53,3.2,233,0.91,8.1,3.13,0.6771,1.86,30.47,68.09,Medium
2.54,0.0,78,0.54,7.95,4.56,0.295,4.25,27.99,21.68,Low
4.47,2.72,103,0.9,6.43,5.33,0.459,1.93,22.46,44.63,Low
7.38,2.17,244,1.26,6.87,5.22,0.4264,1.71,31.8,52.71,Medium
3.85,4.0,256,2.76,7.85,5.08,0.6549,0.0,26.95,55.13,Medium
3.54,0.22,30,0.0,7.7,9.14,0.3288,1.91,16.99,24.0,Low
3.46,0.0,143,0.0,6.42,9.92,0.4671,2.95,33.2,26.9,Low
1.97,1.45,134,0.64,5.7,6.09,0.5571,3.71,18.61,30.12,Low
1.1,3.22,123,0.16,7.18,4.99,0.343,1.37,19.05,48.94,Low
7.3,5.14,223,5.11,8.52,3.03,0.9018,1.93,25.1,75.05,Medium
5.92,2.55,223,1.87,7.21,3.99,0.6603,2.93,26.99,51.01,Medium
1.33,1.18,26,0.0,5.92,8.28,0.4821,2.39,36.81,31.03,Low
7.65,3.59,209,0.89,8.25,1.68,0.698,0.0,26.13,75.44,Medium
6.5,5.39,425,1.19,8.48,5.37,0.82,1.61,33.29,81.87,Medium
6.05,2.46,245,1.01,6.9,4.74,0.7913,2.45,37.1,70.89,Medium
0.0,0.0,13,0.0,6.28,4.75,0.3827,1.51,18.7,18.74,Low
3.47,2.31,23,1.75,5.68,4.66,0.3709,1.89,49.86,36.55,Low
7.6,3.06,307,2.91,8.18,4.32,0.8375,0.46,34.71,72.54,Medium
2.08,2.36,40,0.62,6.44,7.83,0.4813,0.0,29.81,58.31,Low
1.76,2.57,145,1.1,6.87,2.43,0.6905,2.89,41.66,70.96,Low
5.79,2.27,199,1.83,7.36,4.91,0.6675,1.76,43.12,67.45,Medium
2.67,1.61,133,0.0,6.57,3.47,0.2448,3.88,27.7,37.61,Low
4.37,1.62,176,2.33,7.69,4.96,0.48,2.88,28.09,63.12,Medium
0.0,0.0,10,0.0,5.85,11.53,0.0,2.62,34.03,9.33,Low
0.67,0.17,80,0.11,6.36,5.71,0.3859,2.22,23.88,11.7,Low
4.31,1.56,106,0.0,7.48,3.12,0.4829,2.64,24.32,35.67,Low
2.94,0.62,56,0.0,6.7,7.09,0.2125,3.34,17.3,34.66,Low
5.13,4.74,284,2.98,7.47,1.64,0.882,1.83,20.89,56.62,Medium
1.52,0.0,74,0.0,6.19,8.09,0.3,3.53,31.07,19.57,Low
2.51,0.22,153,0.05,6.66,4.33,0.45,1.84,4.32,36.4,Low
4.16,3.13,180,1.74,7.47,3.64,0.4425,0.96,30.6,49.4,Medium
7.3,4.03,251,0.97,7.43,0.0,0.7701,1.5,35.16,68.74,Medium
0.54,0.0,65,0.7,5.97,7.41,0.3076,2.64,45.22,25.57,Low
5.52,2.39,239,1.5,9.16,3.01,0.5943,0.45,17.5,75.7,Medium
4.06,0.94,108,0.7,7.76,3.2,0.2927,0.66,21.04,47.5,Low
0.73,0.0,55,0.0,5.9,6.76,0.4545,2.74,23.73,31.43,Low
3.62,2.59,190,1.67,7.69,5.85,0.6436,1.46,30.34,43.44,Medium
5.21,1.7,202,3.13,7.19,4.38,0.6005,1.77,25.5,63.23,Medium
1.42,0.13,95,1.15,7.01,6.3,0.2723,1.82,26.19,34.28,Low
4.94,2.04,107,0.36,7.14,5.31,0.5877,3.5,17.75,40.18,Low
3.78,1.79,121,1.6,7.76,3.77,0.4505,3.38,31.65,46.35,Low
2.16,4.26,164,0.84,7.33,7.91,0.3643,0.73,7.35,44.03,Low
4.51,1.48,210,2.63,7.28,3.3,0.7749,1.27,33.05,54.67,Medium
8.6,5.54,314,2.91,8.63,3.61,0.8331,2.37,31.93,76.37,Medium
0.35,1.12,92,0.0,6.57,8.01,0.2128,2.97,33.97,28.17,Low
7.71,4.42,297,1.9,8.16,1.59,0.8888,1.32,58.22,100.0,Medium
0.65,0.0,10,0.19,6.28,8.84,0.0,1.45,16.93,19.97,Low
4.64,1.31,96,1.0,6.85,5.6,0.529,1.36,43.15,53.9,Low
4.87,3.07,225,0.65,7.3,1.99,0.6438,1.31,29.78,39.41,Medium
3.84,3.93,230,0.72,6.67,4.08,0.5368,2.19,21.74,45.61,Medium
4.46,1.67,88,0.0,6.09,5.02,0.5033,3.89,44.35,29.79,Low
5.67,2.2,124,0.76,6.1,4.62,0.32,1.38,34.17,37.33,Low
4.19,0.83,169,2.37,5.64,3.78,0.3417,1.12,27.58,46.76,Low
2.92,0.0,123,1.17,6.0,7.57,0.2971,2.07,33.92,51.52,Low
4.73,3.07,235,3.43,7.29,6.13,0.642,2.78,36.99,66.19,Medium
3.72,3.74,131,1.99,7.26,5.93,0.5782,0.45,31.09,53.09,Medium
3.24,0.0,122,1.27,6.44,7.95,0.4044,3.66,13.27,33.3,Low
6.3,2.29,185,3.3,5.57,3.13,0.6452,1.56,31.79,74.63,Medium
6.3,2.59,129,1.55,8.41,3.58,0.4737,1.17,37.77,75.32,Medium
6.41,2.23,201,1.5,8.28,2.61,0.8312,0.16,32.84,63.54,Medium
3.46,2.15,177,2.33,7.67,5.02,0.8671,2.52,42.17,68.84,Medium
3.6,0.33,75,1.5,8.11,6.58,0.3485,2.08,29.69,41.0,Low
1.68,0.0,48,0.17,5.94,5.72,0.3123,2.34,18.42,49.15,Low
5.03,2.15,248,1.02,8.88,5.82,0.797,0.88,20.54,49.56,Medium
5.52,3.62,244,1.6,6.53,4.69,0.4774,1.5,31.48,54.27,Medium
6.35,0.66,70,1.65,7.18,3.77,0.4623,1.52,24.65,53.64,Medium
7.97,0.58,199,1.73,6.04,3.8,0.4539,1.86,33.95,63.88,Medium
7.28,3.29,220,0.88,7.65,4.11,0.6396,0.95,29.21,60.98,Medium
2.6,1.84,137,2.06,7.01,7.45,0.3537,0.64,20.89,20.79,Low
5.74,2.62,191,0.92,7.15,5.01,0.523,4.56,43.27,53.22,Medium
4.66,1.23,135,0.63,7.47,8.15,0.4608,0.7,30.47,57.07,Low
3.18,1.72,125,0.1,6.97,7.78,0.4592,2.25,21.88,30.9,Low
8.35,1.9,286,4.04,7.13,4.01,0.6576,0.0,35.67,54.71,Medium
5.93,3.73,166,1.85,6.96,2.5,0.628,0.0,47.92,63.94,Medium
6.22,3.6,239,0.97,8.06,1.81,0.6396,1.85,37.01,61.04,Medium
7.41,3.55,298,2.74,7.13,2.46,0.8421,1.78,42.46,75.53,Medium
4.55,3.04,180,1.63,7.74,6.1,0.4894,3.26,22.58,38.03,Medium
6.37,1.9,298,1.4,8.32,6.72,0.7189,2.19,43.67,56.98,Medium
2.64,2.66,104,1.42,5.51,6.09,0.4965,1.94,51.63,57.3,Low
3.98,2.64,214,0.6,8.07,6.27,0.622,0.95,23.71,42.93,Medium
2.42,1.47,135,0.5,8.58,4.83,0.6128,3.54,17.53,62.82,Low
4.72,2.13,207,0.0,7.25,5.79,0.4075,2.9,32.24,40.78,Low
6.13,2.79,197,0.42,7.78,5.34,0.5717,0.58,41.73,67.42,Medium
2.91,1.99,69,1.79,7.42,3.26,0.5127,2.28,24.99,34.0,Low
10.19,4.06,370,3.99,7.83,1.24,0.8927,1.52,29.93,69.94,Medium
1.98,0.0,50,0.25,6.64,7.93,0.0173,1.96,23.88,29.94,Low
2.37,1.22,10,1.36,5.34,7.23,0.2369,3.14,29.91,37.24,Low
5.01,3.14,222,1.8,7.69,1.47,0.7451,2.48,31.72,67.3,Medium
